ReleaseID,File Name,Size,LOCAdded,AvgLOCAdded,MaxLOCAdded,LOCRemoved,AvgLOCRemoved,MaxLOCRemoved,Churn,AvgChurn,MaxChurn,NR,Nfix,NAuth,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,514.0,514,0,0.0,0,514,257.0,514,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,204.0,204,0,0.0,0,204,102.0,204,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,144.0,144,0,0.0,0,144,72.0,144,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,98.0,98,0,0.0,0,98,49.0,98,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,203,29.0,178,22,3.142857142857143,9,189,13.5,178,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,40.5,75,8,2.0,5,154,19.25,75,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,489,44.45454545454545,209,96,8.727272727272727,48,399,18.136363636363637,209,11,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,46.333333333333336,75,7,2.3333333333333335,7,132,22.0,75,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,556,69.5,521,23,2.875,8,535,33.4375,521,8,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,75.88888888888889,573,80,8.88888888888889,24,607,33.72222222222222,573,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148.0,148,0,0.0,0,148,74.0,148,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,61.333333333333336,173,10,3.3333333333333335,8,174,29.0,173,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,52.666666666666664,147,10,3.3333333333333335,8,148,24.666666666666668,147,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,139.0,763,742,123.66666666666667,688,1442,120.16666666666667,763,6,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,73.0,209,204,34.0,101,234,19.5,209,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,19.666666666666668,54,5,1.6666666666666667,4,54,9.0,54,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,21.5,38,5,2.5,5,38,9.5,38,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,51.0,98,4,2.0,4,98,24.5,98,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,16.333333333333332,38,10,3.3333333333333335,7,39,6.5,38,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,32.666666666666664,94,29,9.666666666666666,25,119,19.833333333333332,94,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94.0,94,0,0.0,0,94,47.0,94,1,0,1,YES
