DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
OPENJPA,3,73.92550143266476,RandomForest,None,SMOTE,None,0.22580645161290322,0.13861386138613863,0.7024477447744775,0.10292155417919663,14.0,48.0,852.0,87.0
OPENJPA,3,73.92550143266476,NaiveBayes,None,SMOTE,None,0.6,0.0891089108910891,0.7570132013201321,0.13253629980722656,9.0,6.0,894.0,92.0
OPENJPA,3,73.92550143266476,IBk,None,SMOTE,None,0.2222222222222222,0.15841584158415842,0.7018481848184819,0.1102446589211302,16.0,56.0,844.0,85.0
OPENJPA,3,73.92550143266476,RandomForest,None,None,SensitiveLearning,0.1111111111111111,0.039603960396039604,0.7193509350935093,0.005667423863243232,4.0,32.0,868.0,97.0
OPENJPA,3,73.92550143266476,NaiveBayes,None,None,SensitiveLearning,0.7142857142857143,0.09900990099009901,0.7395324532453246,0.15310766161710604,10.0,4.0,896.0,91.0
OPENJPA,3,73.92550143266476,IBk,None,None,SensitiveLearning,0.17777777777777778,0.07920792079207921,0.6967216721672167,0.050534088255894886,8.0,37.0,863.0,93.0
OPENJPA,3,73.92550143266476,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.16,0.07920792079207921,0.7203795379537954,0.04194227619797115,8.0,42.0,858.0,93.0
OPENJPA,3,73.92550143266476,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.7727272727272727,0.16831683168316833,0.7921672167216721,0.2493280192788951,17.0,5.0,895.0,84.0
OPENJPA,3,73.92550143266476,IBk,BestFirst(Bi-directional),OverSampling,None,0.2033898305084746,0.1188118811881188,0.6874477447744775,0.08166376600423694,12.0,47.0,853.0,89.0
OPENJPA,3,73.92550143266476,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.15902964959568733,0.5841584158415841,0.6371342134213421,0.10861067089276268,59.0,312.0,588.0,42.0
OPENJPA,3,73.92550143266476,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.75,0.1485148514851485,0.7486578657865787,0.22198307154875643,15.0,5.0,895.0,86.0
OPENJPA,3,73.92550143266476,IBk,BestFirst(Bi-directional),UnderSampling,None,0.12335958005249344,0.46534653465346537,0.5485753575357536,0.042246991517064666,47.0,334.0,566.0,54.0
OPENJPA,3,73.92550143266476,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.21428571428571427,0.1485148514851485,0.6841309130913091,0.1011902108500867,15.0,55.0,845.0,86.0
OPENJPA,3,73.92550143266476,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.7,0.2079207920792079,0.7935588558855886,0.2876925906085342,21.0,9.0,891.0,80.0
OPENJPA,3,73.92550143266476,IBk,BestFirst(Bi-directional),SMOTE,None,0.20253164556962025,0.15841584158415842,0.7044829482948295,0.09787969943125775,16.0,63.0,837.0,85.0
OPENJPA,3,73.92550143266476,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.20588235294117646,0.06930693069306931,0.7348459845984598,0.05571191343057868,7.0,27.0,873.0,94.0
OPENJPA,3,73.92550143266476,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.7272727272727273,0.15841584158415842,0.7938943894389439,0.23245898600426315,16.0,6.0,894.0,85.0
OPENJPA,3,73.92550143266476,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.13157894736842105,0.04950495049504951,0.7014576457645765,0.017754044864335038,5.0,33.0,867.0,96.0
OPENJPA,4,78.78103837471784,RandomForest,None,None,None,0.3333333333333333,0.05319148936170213,0.6668119058397465,0.0684345594525235,5.0,10.0,930.0,89.0
OPENJPA,4,78.78103837471784,NaiveBayes,None,None,None,0.35294117647058826,0.06382978723404255,0.7687245359891354,0.08256107834877899,6.0,11.0,929.0,88.0
OPENJPA,4,78.78103837471784,IBk,None,None,None,0.2857142857142857,0.06382978723404255,0.7139373019465821,0.07358953393295271,6.0,15.0,925.0,88.0
