DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,4,73.96408839779005,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.07777777777777778,0.21,0.68624931880109,0.07781340890446643,21.0,249.0,3421.0,79.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.08311688311688312,0.2,0.6668132911392405,0.06606354080548014,32.0,353.0,3597.0,128.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.01639344262295082,0.003134796238244514,0.4439880712487416,-0.08362800565770873,2.0,120.0,1739.0,636.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.0,0.0,NaN,0.0,0.0,461.0,2960.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.18157894736842106,0.19008264462809918,0.6572655696852208,0.10070324893513363,69.0,311.0,3253.0,294.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.07560137457044673,0.2,0.6927151124822664,0.07407967968518835,22.0,269.0,3768.0,88.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.08933002481389578,0.20454545454545456,0.6715183335076891,0.07418037703322951,36.0,367.0,3978.0,140.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.01639344262295082,0.0028735632183908046,0.45324012673150604,-0.07720918301910973,2.0,120.0,1908.0,694.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.0,0.0,NaN,0.0,0.0,510.0,3222.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.1831578947368421,0.2196969696969697,0.6535425629754333,0.11004409918561389,87.0,388.0,3500.0,309.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.07197943444730077,0.23333333333333334,0.6849038752649107,0.07241205129458492,28.0,361.0,4043.0,92.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.0888468809073724,0.24479166666666666,0.6685714442686357,0.0776870684996228,47.0,482.0,4258.0,145.0
