ReleaseID,File Name,Size,LOCAdded,AvgLOCAdded,MaxLOCAdded,Churn,AvgChurn,MaxChurn,Buggy
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,103,0,0.0,0,0,0.0,0,YES
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,336,181,90.5,171,124,62.0,123,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,590,842,42.1,370,612,30.6,327,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,31,2,2.0,2,1,1.0,1,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,130,5,2.5,5,58,29.0,53,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,8,2,2.0,2,2,2.0,2,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,556,0,0.0,0,0,0.0,0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,134,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,163,6,6.0,6,1,1.0,1,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,357,377,29.0,194,291,22.384615384615383,129,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,11,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,208,81,16.2,68,55,11.0,20,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,349,22,7.333333333333333,17,219,73.0,211,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,385,39,5.571428571428571,20,164,23.428571428571427,124,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,12,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,46,8,8.0,8,3,3.0,3,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,142,26,6.5,22,8,2.0,5,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,409,13,6.5,11,26,13.0,22,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,132,3,1.5,2,1,0.5,1,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,21,633,79.125,541,579,72.375,531,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,7,53,53.0,53,52,52.0,52,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,670,54,9.0,19,76,12.666666666666666,28,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,19,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,38,161,32.2,109,159,31.8,88,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,63,30,30.0,30,25,25.0,25,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,28,3,3.0,3,1,1.0,1,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,139,3,1.5,2,6,3.0,4,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,29,0,0.0,0,0,0.0,0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,106,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,33,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,21,0,0.0,0,0,0.0,0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,43,10,10.0,10,2,2.0,2,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,249,0,0.0,0,11,11.0,11,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,275,118,19.666666666666668,67,116,19.333333333333332,68,YES
