@relation OPENJPA_1_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
131,131,65.5,131,0,0.0,0,131,65.5,131,131,65.5,131,2,0,1,NO
67,67,33.5,67,0,0.0,0,67,33.5,67,67,33.5,67,2,0,1,NO
99,101,33.666666666666664,99,2,0.6666666666666666,2,103,34.333333333333336,99,99,33.0,99,3,0,2,NO
265,269,89.66666666666667,265,4,1.3333333333333333,4,273,91.0,265,265,88.33333333333333,265,3,0,2,NO
534,537,179.0,536,3,1.0,3,540,180.0,536,538,179.33333333333334,536,3,0,1,NO
318,318,159.0,318,0,0.0,0,318,159.0,318,318,159.0,318,2,0,1,NO
365,365,182.5,365,0,0.0,0,365,182.5,365,365,182.5,365,2,0,1,NO
86,90,30.0,90,4,1.3333333333333333,4,94,31.333333333333332,90,94,31.333333333333332,90,3,0,1,NO
74,74,37.0,74,0,0.0,0,74,37.0,74,74,37.0,74,2,0,1,NO
79,79,39.5,79,0,0.0,0,79,39.5,79,79,39.5,79,2,0,1,NO
89,91,30.333333333333332,89,2,0.6666666666666666,2,93,31.0,89,89,29.666666666666668,89,3,0,2,NO
173,183,61.0,174,10,3.3333333333333335,10,193,64.33333333333333,174,175,58.333333333333336,174,3,0,2,NO
78,78,39.0,78,0,0.0,0,78,39.0,78,78,39.0,78,2,0,1,NO
58,60,20.0,58,2,0.6666666666666666,2,62,20.666666666666668,58,58,19.333333333333332,58,3,0,2,NO
67,67,33.5,67,0,0.0,0,67,33.5,67,67,33.5,67,2,0,1,NO
48,48,24.0,48,0,0.0,0,48,24.0,48,48,24.0,48,2,0,1,NO
59,59,29.5,59,0,0.0,0,59,29.5,59,59,29.5,59,2,0,1,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,80,40.0,80,2,0,1,NO
63,63,31.5,63,0,0.0,0,63,31.5,63,63,31.5,63,2,0,1,NO
123,124,41.333333333333336,123,1,0.3333333333333333,1,125,41.666666666666664,123,123,41.0,123,3,0,1,NO
48,48,24.0,48,0,0.0,0,48,24.0,48,48,24.0,48,2,0,1,NO
262,262,131.0,262,0,0.0,0,262,131.0,262,262,131.0,262,2,0,1,NO
130,131,43.666666666666664,124,1,0.3333333333333333,1,132,44.0,124,130,43.333333333333336,124,3,0,2,NO
1571,1584,528.0,1573,13,4.333333333333333,13,1597,532.3333333333334,1573,1575,525.0,1573,3,0,2,NO
169,173,57.666666666666664,169,4,1.3333333333333333,4,177,59.0,169,169,56.333333333333336,169,3,0,2,NO
92,92,46.0,92,0,0.0,0,92,46.0,92,92,46.0,92,2,0,1,NO
65,65,32.5,65,0,0.0,0,65,32.5,65,65,32.5,65,2,0,1,NO
133,133,66.5,133,0,0.0,0,133,66.5,133,133,66.5,133,2,0,1,NO
399,412,137.33333333333334,401,13,4.333333333333333,13,425,141.66666666666666,401,403,134.33333333333334,401,3,0,2,NO
254,264,88.0,255,10,3.3333333333333335,10,274,91.33333333333333,255,256,85.33333333333333,255,3,0,2,NO
257,261,87.0,258,4,1.3333333333333333,4,265,88.33333333333333,258,259,86.33333333333333,258,3,0,2,NO
83,83,41.5,83,0,0.0,0,83,41.5,83,83,41.5,83,2,0,1,NO
95,95,47.5,95,0,0.0,0,95,47.5,95,95,47.5,95,2,0,1,NO
145,148,49.333333333333336,144,3,1.0,3,151,50.333333333333336,144,145,48.333333333333336,144,3,0,2,NO
96,99,33.0,96,3,1.0,3,102,34.0,96,96,32.0,96,3,0,2,NO
149,156,52.0,149,7,2.3333333333333335,7,163,54.333333333333336,149,149,49.666666666666664,149,3,0,2,NO
230,241,80.33333333333333,234,10,3.3333333333333335,10,251,83.66666666666667,234,237,79.0,234,3,0,2,NO
421,444,148.0,430,22,7.333333333333333,22,466,155.33333333333334,430,438,146.0,430,3,0,2,NO
174,183,61.0,175,9,3.0,9,192,64.0,175,176,58.666666666666664,175,3,0,2,NO
104,104,52.0,104,0,0.0,0,104,52.0,104,104,52.0,104,2,0,1,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,93,46.5,93,2,0,1,NO
110,110,55.0,110,0,0.0,0,110,55.0,110,110,55.0,110,2,0,1,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,80,40.0,80,2,0,1,NO
258,264,88.0,260,6,2.0,6,270,90.0,260,262,87.33333333333333,260,3,0,2,NO
86,86,43.0,86,0,0.0,0,86,43.0,86,86,43.0,86,2,0,1,NO
55,55,27.5,55,0,0.0,0,55,27.5,55,55,27.5,55,2,0,1,NO
51,51,25.5,51,0,0.0,0,51,25.5,51,51,25.5,51,2,0,1,NO
52,52,26.0,52,0,0.0,0,52,26.0,52,52,26.0,52,2,0,1,NO
60,60,30.0,60,0,0.0,0,60,30.0,60,60,30.0,60,2,0,1,NO
46,46,23.0,46,0,0.0,0,46,23.0,46,46,23.0,46,2,0,1,NO
81,81,40.5,81,0,0.0,0,81,40.5,81,81,40.5,81,2,0,1,NO
399,404,134.66666666666666,400,5,1.6666666666666667,5,409,136.33333333333334,400,401,133.66666666666666,400,3,0,2,NO
84,85,42.5,85,0,0.0,0,85,42.5,85,85,42.5,85,2,0,1,NO
94,99,33.0,94,5,1.6666666666666667,5,104,34.666666666666664,94,94,31.333333333333332,94,3,0,2,NO
93,98,32.666666666666664,93,5,1.6666666666666667,5,103,34.333333333333336,93,93,31.0,93,3,0,2,NO
730,774,129.0,731,44,7.333333333333333,29,818,136.33333333333334,731,742,123.66666666666667,731,6,0,2,NO
167,181,60.333333333333336,170,14,4.666666666666667,14,195,65.0,170,173,57.666666666666664,170,3,0,2,NO
167,181,60.333333333333336,170,14,4.666666666666667,14,195,65.0,170,173,57.666666666666664,170,3,0,2,NO
207,207,103.5,207,0,0.0,0,207,103.5,207,207,103.5,207,2,0,1,NO
311,322,80.5,309,11,2.75,6,333,83.25,309,311,77.75,309,4,0,2,NO
267,288,57.6,276,21,4.2,11,309,61.8,276,289,57.8,276,5,0,2,NO
321,321,160.5,321,0,0.0,0,321,160.5,321,321,160.5,321,2,0,1,NO
518,553,184.33333333333334,527,35,11.666666666666666,35,588,196.0,527,536,178.66666666666666,527,3,0,2,NO
256,261,87.0,257,5,1.6666666666666667,5,266,88.66666666666667,257,258,86.0,257,3,0,2,NO
162,165,55.0,161,3,1.0,3,168,56.0,161,162,54.0,161,3,0,2,NO
61,65,21.666666666666668,62,4,1.3333333333333333,4,69,23.0,62,63,21.0,62,3,0,2,NO
48,48,24.0,48,0,0.0,0,48,24.0,48,48,24.0,48,2,0,1,NO
43,43,21.5,43,0,0.0,0,43,21.5,43,43,21.5,43,2,0,1,NO
119,122,40.666666666666664,119,3,1.0,3,125,41.666666666666664,119,119,39.666666666666664,119,3,0,2,NO
129,130,43.333333333333336,129,1,0.3333333333333333,1,131,43.666666666666664,129,129,43.0,129,3,0,1,NO
151,151,75.5,151,0,0.0,0,151,75.5,151,151,75.5,151,2,0,1,NO
707,707,353.5,707,0,0.0,0,707,353.5,707,707,353.5,707,2,0,1,NO
287,287,143.5,287,0,0.0,0,287,143.5,287,287,143.5,287,2,0,1,NO
185,185,92.5,185,0,0.0,0,185,92.5,185,185,92.5,185,2,0,1,NO
