RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,45,56,18.666666666666668,54,10,3.3333333333333335,10,62,20.666666666666668,54,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,74,86,17.2,61,11,2.2,8,75,15.0,61,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,193,224,37.333333333333336,192,31,5.166666666666667,20,193,32.166666666666664,192,6,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,33,34,17.0,34,0,0.0,0,34,17.0,34,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,91,104,26.0,91,13,3.25,7,91,22.75,91,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,33,34,17.0,34,0,0.0,0,34,17.0,34,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,180,203,50.75,178,23,5.75,15,180,45.0,178,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,79,90,22.5,79,11,2.75,6,79,19.75,79,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,80,89,22.25,81,9,2.25,6,82,20.5,81,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java,134,151,37.75,134,17,4.25,9,134,33.5,134,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java,101,116,29.0,101,15,3.75,9,101,25.25,101,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,173,204,40.8,171,30,6.0,23,174,34.8,171,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java,204,242,48.4,211,38,7.6,19,218,43.6,211,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java,83,88,29.333333333333332,83,5,1.6666666666666667,5,83,27.666666666666668,83,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java,76,87,21.75,77,11,2.75,6,78,19.5,77,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,185,190,47.5,178,5,1.25,5,185,46.25,178,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java,62,66,22.0,66,4,1.3333333333333333,4,70,23.333333333333332,66,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java,46,46,23.0,46,0,0.0,0,46,23.0,46,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java,54,57,14.25,56,2,0.5,1,57,14.25,56,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java,70,73,24.333333333333332,70,3,1.0,3,70,23.333333333333332,70,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,44,49,16.333333333333332,49,4,1.3333333333333333,4,53,17.666666666666668,49,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java,55,64,16.0,57,9,2.25,6,59,14.75,57,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java,202,224,56.0,202,22,5.5,16,202,50.5,202,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java,75,83,27.666666666666668,75,8,2.6666666666666665,8,75,25.0,75,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java,72,86,21.5,83,14,3.5,11,94,23.5,83,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,237,274,45.666666666666664,232,37,6.166666666666667,27,237,39.5,232,6,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java,103,103,51.5,103,0,0.0,0,103,51.5,103,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,101,106,35.333333333333336,101,5,1.6666666666666667,5,101,33.666666666666664,101,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,80,80,40.0,80,0,0.0,0,80,40.0,80,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,213,213,213.0,213,0,0.0,0,213,213.0,213,1,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,181,207,51.75,184,25,6.25,15,186,46.5,184,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java,30,36,18.0,29,6,3.0,6,30,15.0,29,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,175,197,39.4,176,22,4.4,13,177,35.4,176,5,0,2,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java,44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,79,94,23.5,79,15,3.75,9,79,19.75,79,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,164,195,39.0,163,30,6.0,23,167,33.4,163,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,152,165,27.5,154,12,2.0,6,155,25.833333333333332,154,6,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java,71,84,21.0,72,13,3.25,7,73,18.25,72,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,71,83,20.75,72,12,3.0,6,73,18.25,72,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,42,42,21.0,42,0,0.0,0,42,21.0,42,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,449,480,68.57142857142857,450,31,4.428571428571429,14,465,66.42857142857143,450,7,0,3,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,29,29,14.5,29,0,0.0,0,29,14.5,29,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java,53,55,18.333333333333332,54,2,0.6666666666666666,2,55,18.333333333333332,54,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java,58,60,20.0,59,2,0.6666666666666666,2,60,20.0,59,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,87,91,30.333333333333332,87,4,1.3333333333333333,4,87,29.0,87,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java,133,147,36.75,133,14,3.5,8,133,33.25,133,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,165,193,38.6,163,27,5.4,20,166,33.2,163,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java,85,97,24.25,86,12,3.0,6,87,21.75,86,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java,76,84,28.0,76,8,2.6666666666666665,8,76,25.333333333333332,76,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java,72,83,20.75,73,11,2.75,6,74,18.5,73,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,53,56,18.666666666666668,53,3,1.0,3,53,17.666666666666668,53,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,107,120,30.0,107,13,3.25,7,107,26.75,107,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,680,707,101.0,633,27,3.857142857142857,20,682,97.42857142857143,633,7,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,117,121,40.333333333333336,117,4,1.3333333333333333,4,117,39.0,117,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,68,70,23.333333333333332,69,2,0.6666666666666666,2,70,23.333333333333332,69,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java,38,38,19.0,38,0,0.0,0,38,19.0,38,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,36,36,18.0,36,0,0.0,0,36,18.0,36,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,344,394,43.77777777777778,352,50,5.555555555555555,25,370,41.111111111111114,352,9,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,57,63,15.75,58,6,1.5,4,59,14.75,58,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,40,41,20.5,41,0,0.0,0,41,20.5,41,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,266,287,71.75,266,21,5.25,15,266,66.5,266,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,139,164,32.8,138,24,4.8,17,140,28.0,138,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java,60,61,30.5,61,0,0.0,0,61,30.5,61,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,222,282,56.4,238,60,12.0,30,254,50.8,238,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,159,190,38.0,158,30,6.0,23,162,32.4,158,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java,51,52,17.333333333333332,51,1,0.3333333333333333,1,51,17.0,51,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,48,49,24.5,49,0,0.0,0,49,24.5,49,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,48,49,24.5,49,0,0.0,0,49,24.5,49,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,198,226,45.2,196,27,5.4,20,199,39.8,196,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,165,197,32.833333333333336,171,31,5.166666666666667,17,180,30.0,171,6,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,156,174,43.5,161,18,4.5,13,166,41.5,161,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,192,211,52.75,188,19,4.75,14,192,48.0,188,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,957,957,478.5,957,0,0.0,0,957,478.5,957,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,341,341,170.5,341,0,0.0,0,341,170.5,341,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,112,112,56.0,112,0,0.0,0,112,56.0,112,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java,125,125,62.5,125,0,0.0,0,125,62.5,125,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,411,415,138.33333333333334,383,4,1.3333333333333333,4,411,137.0,383,3,0,2,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,173,173,86.5,173,0,0.0,0,173,86.5,173,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,69,71,23.666666666666668,69,2,0.6666666666666666,2,69,23.0,69,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,82,84,28.0,82,2,0.6666666666666666,2,82,27.333333333333332,82,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,1010,1031,343.6666666666667,1013,21,7.0,21,1016,338.6666666666667,1013,3,0,2,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,329,329,164.5,329,0,0.0,0,329,164.5,329,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java,244,254,84.66666666666667,245,10,3.3333333333333335,10,246,82.0,245,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,84,84,42.0,84,0,0.0,0,84,42.0,84,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,43,43,21.5,43,0,0.0,0,43,21.5,43,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,69,69,34.5,69,0,0.0,0,69,34.5,69,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,64,64,32.0,64,0,0.0,0,64,32.0,64,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,161,167,55.666666666666664,161,6,2.0,6,161,53.666666666666664,161,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,86,86,43.0,86,0,0.0,0,86,43.0,86,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,304,304,152.0,304,0,0.0,0,304,152.0,304,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,703,703,351.5,703,0,0.0,0,703,351.5,703,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,1749,1757,439.25,1748,8,2.0,7,1751,437.75,1748,4,0,1,YES
